DATE,G7CPALTT01GPM
2020-01-01,0.144255043301134
2020-02-01,0.19497466620717732
2020-03-01,-0.11948282308599872
2020-04-01,-0.4036100791059545
2020-05-01,0.0003306454684668221
2020-06-01,0.3556286585477192
2020-07-01,0.26363415601211
2020-08-01,0.1675402258809846
2020-09-01,0.011218785457270971
2020-10-01,0.05836551598253726
2020-11-01,-0.07724047231438425
2020-12-01,0.07940084143940818
2021-01-01,0.4737438645452241
2021-02-01,0.40287194413690375
2021-03-01,0.5576408664251822
2021-04-01,0.5098102311197816
2021-05-01,0.5908697990476626
2021-06-01,0.6265940598941558
2021-07-01,0.4007497015678346
2021-08-01,0.2380032593210065
2021-09-01,0.2279623206820776
2021-10-01,0.6578282185699195
2021-11-01,0.4277641144212982
2021-12-01,0.2594148757567688
2022-01-01,0.6886382222174828
2022-02-01,0.8306097354501653
2022-03-01,1.2659140232091783
2022-04-01,0.6177515621329208
2022-05-01,0.9427996344087476
2022-06-01,0.9930302483277136
2022-07-01,0.16647792703870892
2022-08-01,0.1407157718170512
2022-09-01,0.3338711844978765
2022-10-01,0.7513927568047232
2022-11-01,0.056282432813597766
2022-12-01,-0.1873192551272016
2023-01-01,0.630261327386728
2023-02-01,0.4872842095037985
2023-03-01,0.3974810154538048
2023-04-01,0.572341109796603
2023-05-01,0.21362162989679226
2023-06-01,0.25309287555318005
2023-07-01,0.1847571168821656
2023-08-01,0.4230155068332172
2023-09-01,0.2033932498806605
2023-10-01,0.0674966793845475
2023-11-01,-0.21824456491108066
2023-12-01,-0.02685504010831069
2024-01-01,0.3220594379850203
2024-02-01,0.5129282892310483
