DATE,GEPUCURRENT
2020-01-01,228.01071789494904
2020-02-01,230.56226290988062
2020-03-01,357.00669338847064
2020-04-01,358.98895871589235
2020-05-01,431.6423744980644
2020-06-01,328.70887586589487
2020-07-01,352.13918263067427
2020-08-01,301.68978966009087
2020-09-01,290.01401913356005
2020-10-01,307.7767775643895
2020-11-01,368.4186704383788
2020-12-01,295.68451290122255
2021-01-01,280.61179179458486
2021-02-01,215.39828527923123
2021-03-01,215.28777388710668
2021-04-01,199.40254688956932
2021-05-01,190.28457156715038
2021-06-01,178.8375602863134
2021-07-01,205.5489963258521
2021-08-01,216.49514459621554
2021-09-01,205.38194626062156
2021-10-01,195.25222383613618
2021-11-01,228.04866213154315
2021-12-01,266.16738207313057
2022-01-01,232.05951564434272
2022-02-01,191.88756506227168
2022-03-01,330.0724872853031
2022-04-01,302.96319944021843
2022-05-01,291.2564361143977
2022-06-01,275.28262072254444
2022-07-01,317.21271532102344
2022-08-01,257.1891872900699
2022-09-01,281.91782159326914
2022-10-01,301.2885160393558
2022-11-01,332.46600071547914
2022-12-01,263.55212038786084
2023-01-01,247.370606274351
2023-02-01,243.4146358677818
2023-03-01,310.65563693388395
2023-04-01,231.6801125923934
2023-05-01,228.34542547560366
2023-06-01,229.72057183661707
2023-07-01,226.33137756005186
2023-08-01,211.1386900418957
2023-09-01,243.8964714493466
2023-10-01,226.0939169621176
2023-11-01,246.8587807498108
2023-12-01,255.95306781876724
2024-01-01,229.81531723547417
2024-02-01,197.36974267940514
2024-03-01,177.02254669663444
2024-04-01,185.97986076684543
2024-05-01,203.21152506066298
2024-06-01,209.639556713686
